seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	56948827	56948931	105	*	X02290	219527	56949221	56959188	9968	+	289	upstream	289	LRRC55
chr11	56949022	56949108	87	*	X02291	219527	56949221	56959188	9968	+	112	upstream	112	LRRC55
chr11	57226543	57226647	105	*	X02295	349667	57228339	57244384	16046	+	1691	upstream	1691	RTN4RL2
chr11	57227372	57227446	75	*	X02296	349667	57228339	57244384	16046	+	892	upstream	892	RTN4RL2
chr11	57227668	57227772	105	*	X02297	349667	57228339	57244384	16046	+	566	upstream	566	RTN4RL2
chr11	57227818	57227880	63	*	X02298	349667	57228339	57244384	16046	+	458	upstream	458	RTN4RL2
chr11	57283211	57283390	180	*	X02311	8501	57252004	57283192	31189	-	18	upstream	18	SLC43A1
chr11	61275492	61275596	105	*	X02319	100616470	61276068	61276129	62	+	471	upstream	471	MIR4488
chr11	61275492	61275596	105	*	X02319	390205	61276272	61278490	2219	+	675	upstream	675	LRRC10B
chr11	61349174	61349186	13	*	X02323	9066	61281188	61348344	67157	-	829	upstream	829	SYT7
chr11	61520354	61520758	405	*	X02324	745	61520121	61555989	35869	+	0	inside	232	MYRF
chr11	62314471	62314535	65	*	X02334	79026	62201014	62314332	113319	-	138	upstream	138	AHNAK
chr11	62314898	62314987	90	*	X02335	79026	62201014	62314332	113319	-	565	upstream	565	AHNAK
chr11	62370057	62370080	24	*	X02337	9219	62360675	62369312	8638	-	744	upstream	744	MTA2
chr11	62370549	62370623	75	*	X02338	9219	62360675	62369312	8638	-	1236	upstream	1236	MTA2
chr11	62371074	62371178	105	*	X02339	9219	62360675	62369312	8638	-	1761	upstream	1761	MTA2
chr11	62371254	62371373	120	*	X02340	9219	62360675	62369312	8638	-	1941	upstream	1941	MTA2
chr11	63537809	63537898	90	*	X02342	65998	63527364	63536113	8750	-	1695	upstream	1695	C11orf95
chr11	64058673	64058777	105	*	X02371	50801	64058793	64072239	13447	+	15	upstream	15	KCNK4
chr11	64490033	64490371	339	*	X02391	9379	64373646	64490660	117015	-	0	inside	288	NRXN2
chr11	65342100	65342204	105	*	X02405	254102	65343509	65360116	16608	+	1304	upstream	1304	EHBP1L1
chr11	65342700	65342789	90	*	X02406	254102	65343509	65360116	16608	+	719	upstream	719	EHBP1L1
chr11	65343319	65343423	105	*	X02407	254102	65343509	65360116	16608	+	85	upstream	85	EHBP1L1
chr11	65549288	65549347	60	*	X02416	91056	65541369	65548062	6694	-	1225	upstream	1225	AP5B1
chr11	65554128	65554322	195	*	X02417	5017	65554505	65564690	10186	+	182	upstream	182	OVOL1
chr11	66059008	66059112	105	*	X02425	256472	66059373	66064135	4763	+	260	upstream	260	TMEM151A
chr11	66186535	66186669	135	*	X02427	266743	66188475	66194177	5703	+	1805	upstream	1805	NPAS4
chr11	66187135	66187254	120	*	X02428	266743	66188475	66194177	5703	+	1220	upstream	1220	NPAS4
chr11	66789691	66789915	225	*	X02430	91683	66790190	66818334	28145	+	274	upstream	274	SYT12
chr11	67141240	67141567	328	*	X02438	23529	67131639	67141648	10010	-	0	inside	80	CLCF1
chr11	67142125	67142244	120	*	X02439	23529	67131639	67141648	10010	-	476	upstream	476	CLCF1
chr11	67142650	67142754	105	*	X02440	23529	67131639	67141648	10010	-	1001	upstream	1001	CLCF1
chr11	67142800	67142896	97	*	X02441	23529	67131639	67141648	10010	-	1151	upstream	1151	CLCF1
chr11	67143280	67143504	225	*	X02442	23529	67131639	67141648	10010	-	1631	upstream	1631	CLCF1
chr11	68451765	68451914	150	*	X02445	51083	68451983	68458643	6661	+	68	upstream	68	GAL
chr11	68610239	68610373	135	*	X02448	1374	68522088	68609399	87312	-	839	upstream	839	CPT1A
chr11	68610755	68610844	90	*	X02449	1374	68522088	68609399	87312	-	1355	upstream	1355	CPT1A
chr11	69519724	69519760	37	*	X02458	9965	69513006	69519106	6101	-	617	upstream	617	FGF19
chr11	69519851	69519970	120	*	X02459	9965	69513006	69519106	6101	-	744	upstream	744	FGF19
chr11	69520506	69520595	90	*	X02460	9965	69513006	69519106	6101	-	1399	upstream	1399	FGF19
chr11	69590240	69590344	105	*	X02462	2249	69587797	69590171	2375	-	68	upstream	68	FGF4
chr11	69590600	69590704	105	*	X02463	2249	69587797	69590171	2375	-	428	upstream	428	FGF4
chr11	69633833	69633937	105	*	X02468	2248	69624736	69634192	9457	-	0	inside	254	FGF3
chr11	69635798	69635911	114	*	X02469	2248	69624736	69634192	9457	-	1605	upstream	1605	FGF3
chr11	69923386	69923520	135	*	X02479	55107	69924408	70035652	111245	+	887	upstream	887	ANO1
chr11	72385942	72385988	47	*	X02505	5138	72287184	72385497	98314	-	444	upstream	444	PDE2A
chr11	72386559	72386569	11	*	X02506	5138	72287184	72385497	98314	-	1061	upstream	1061	PDE2A
chr11	72928974	72929063	90	*	X02507	5029	72929343	72953472	24130	+	279	upstream	279	P2RY2
chr11	74022812	74022812	1	*	X02515	283208	73958546	74022699	64154	-	112	upstream	112	P4HA3
chr11	74442332	74442333	2	*	X02517	25884	74407474	74442186	34713	-	145	upstream	145	CHRDL2
chr11	74442427	74442451	25	*	X02518	25884	74407474	74442186	34713	-	240	upstream	240	CHRDL2
chr11	74950920	74950964	45	*	X02519	100507050	74951950	74954749	2800	+	985	upstream	985	TPBGL
chr11	74951220	74951489	270	*	X02520	100507050	74951950	74954749	2800	+	460	upstream	460	TPBGL
chr11	75379923	75380027	105	*	X02531	4135	75297963	75379479	81517	-	443	upstream	443	MAP6
chr11	75380163	75380282	120	*	X02532	4135	75297963	75379479	81517	-	683	upstream	683	MAP6
chr11	75380397	75380486	90	*	X02533	4135	75297963	75379479	81517	-	917	upstream	917	MAP6
chr11	75428444	75428668	225	*	X02535	80168	75428934	75442331	13398	+	265	upstream	265	MOGAT2
chr11	75428804	75428908	105	*	X02536	80168	75428934	75442331	13398	+	25	upstream	25	MOGAT2
chr11	75478476	75478580	105	*	X02538	84649	75479778	75512581	32804	+	1197	upstream	1197	DGAT2
chr11	75480636	75480755	120	*	X02539	283214	75469500	75479692	10193	-	943	upstream	943	LOC283214
chr11	75922388	75922492	105	*	X02546	7481	75897370	75921803	24434	-	584	upstream	584	WNT11
chr11	76381994	76382158	165	*	X02554	2615	76368568	76381791	13224	-	202	upstream	202	LRRC32
chr11	76382429	76382488	60	*	X02555	2615	76368568	76381791	13224	-	637	upstream	637	LRRC32
chr11	79152478	79152627	150	*	X02564	26011	78364328	79151695	787368	-	782	upstream	782	TENM4
chr11	79153351	79153485	135	*	X02565	26011	78364328	79151695	787368	-	1655	upstream	1655	TENM4
chr11	86665568	86665897	330	*	X02570	100506368	86666663	86711989	45327	+	765	upstream	765	FZD4-DT
chr11	92702924	92703028	105	*	X02578	4544	92702789	92715948	13160	+	0	inside	134	MTNR1B
chr11	93393756	93393905	150	*	X02579	85459	93394816	93463522	68707	+	910	upstream	910	CEP295
chr11	98891674	98891695	22	*	X02587	53942	98891706	100229616	1337911	+	10	upstream	10	CNTN5
chr11	100998736	100998840	105	*	X02588	101054525	100999808	101069639	69832	+	967	upstream	967	PGR-AS1
chr11	100999921	101000040	120	*	X02589	101054525	100999808	101069639	69832	+	0	inside	112	PGR-AS1
chr11	101000502	101000563	62	*	X02590	5241	100900355	101000544	100190	-	0	overlapStart	0	PGR
chr11	101455870	101455943	74	*	X02592	7225	101322295	101454659	132365	-	1210	upstream	1210	TRPC6
chr11	102324150	102324187	38	*	X02593	114908	102267056	102323775	56720	-	374	upstream	374	TMEM123
chr11	107460932	107460976	45	*	X02595	55531	107461817	107537505	75689	+	840	upstream	840	ELMOD1
chr11	107460932	107460976	45	*	X02595	643923	107462471	107463949	1479	+	1494	upstream	1494	NA
chr11	107461182	107461206	25	*	X02596	55531	107461817	107537505	75689	+	610	upstream	610	ELMOD1
chr11	107461182	107461206	25	*	X02596	643923	107462471	107463949	1479	+	1264	upstream	1264	NA
chr11	107461421	107461645	225	*	X02597	55531	107461817	107537505	75689	+	171	upstream	171	ELMOD1
chr11	107461421	107461645	225	*	X02597	643923	107462471	107463949	1479	+	825	upstream	825	NA
chr11	109291508	109291612	105	*	X02600	399947	109292846	109299893	7048	+	1233	upstream	1233	C11orf87
chr11	109292723	109292770	48	*	X02601	399947	109292846	109299893	7048	+	75	upstream	75	C11orf87
chr11	109292870	109292977	108	*	X02602	399947	109292846	109299893	7048	+	0	inside	23	C11orf87
chr11	109293008	109293097	90	*	X02603	399947	109292846	109299893	7048	+	0	inside	161	C11orf87
chr11	111169265	111169309	45	*	X02610	120376	111169271	111179460	10190	+	0	overlapStart	0	COLCA2
chr11	111169475	111169579	105	*	X02611	120376	111169271	111179460	10190	+	0	inside	203	COLCA2
chr11	111383060	111383164	105	*	X02612	407041	111383663	111383746	84	+	498	upstream	498	MIR34B
chr11	111383060	111383164	105	*	X02612	407042	111384164	111384240	77	+	999	upstream	999	MIR34C
chr11	111383060	111383164	105	*	X02612	54766	111338256	111383079	44824	-	0	overlapStart	0	BTG4
chr11	111383406	111383525	120	*	X02613	399949	111385510	111407756	22247	+	1984	upstream	1984	HOATZ
chr11	111383406	111383525	120	*	X02613	407041	111383663	111383746	84	+	137	upstream	137	MIR34B
chr11	111383406	111383525	120	*	X02613	407042	111384164	111384240	77	+	638	upstream	638	MIR34C
chr11	111383406	111383525	120	*	X02613	54766	111338256	111383079	44824	-	326	upstream	326	BTG4
chr11	111385161	111385280	120	*	X02614	399949	111385510	111407756	22247	+	229	upstream	229	HOATZ
chr11	111385416	111385419	4	*	X02615	399949	111385510	111407756	22247	+	90	upstream	90	HOATZ
chr11	113346243	113346246	4	*	X02621	1813	113280317	113346413	66097	-	0	inside	166	DRD2
chr11	113347462	113347521	60	*	X02622	1813	113280317	113346413	66097	-	1048	upstream	1048	DRD2
chr11	113929153	113929272	120	*	X02626	7704	113930431	114121397	190967	+	1158	upstream	1158	ZBTB16
chr11	113929916	113930050	135	*	X02627	7704	113930431	114121397	190967	+	380	upstream	380	ZBTB16
chr11	113930156	113930241	86	*	X02628	7704	113930431	114121397	190967	+	189	upstream	189	ZBTB16
chr11	113930372	113930440	69	*	X02629	7704	113930431	114121397	190967	+	0	overlapStart	0	ZBTB16
chr11	115630983	115631102	120	*	X02639	283143	115626051	115631345	5295	-	0	inside	242	LINC00900
chr11	117747515	117747568	54	*	X02651	100533181	117690790	117747746	56957	-	0	inside	177	FXYD6-FXYD2
chr11	118023514	118023570	57	*	X02656	6330	118004092	118023630	19539	-	0	inside	59	SCN4B
chr11	118024296	118024312	17	*	X02657	6330	118004092	118023630	19539	-	665	upstream	665	SCN4B
chr11	119018618	119018842	225	*	X02669	64137	119019750	119033374	13625	+	907	upstream	907	ABCG4
chr11	119019423	119019542	120	*	X02670	64137	119019750	119033374	13625	+	207	upstream	207	ABCG4
chr11	119188656	119188760	105	*	X02676	4162	119179234	119187840	8607	-	815	upstream	815	MCAM
chr11	120081402	120081536	135	*	X02696	220323	120081747	120100650	18904	+	210	upstream	210	OAF
chr11	120081702	120081728	27	*	X02697	220323	120081747	120100650	18904	+	18	upstream	18	OAF
chr11	121971173	121971472	300	*	X02712	406911	121970465	121970552	88	-	620	upstream	620	MIR125B1
chr11	121971948	121972157	210	*	X02713	406911	121970465	121970552	88	-	1395	upstream	1395	MIR125B1
chr11	122525761	122525865	105	*	X02714	84959	122526398	122685187	158790	+	532	upstream	532	UBASH3B
chr11	123525848	123525952	105	*	X02718	55800	123499895	123525315	25421	-	532	upstream	532	SCN3B
chr11	124608279	124608383	105	*	X02721	4900	124609829	124617102	7274	+	1445	upstream	1445	NRGN
chr11	124609659	124609727	69	*	X02722	4900	124609829	124617102	7274	+	101	upstream	101	NRGN
chr11	124623209	124623418	210	*	X02730	23584	124617370	124622109	4740	-	1099	upstream	1099	VSIG2
chr11	124623629	124623808	180	*	X02731	23584	124617370	124622109	4740	-	1519	upstream	1519	VSIG2
chr11	124623854	124623973	120	*	X02732	23584	124617370	124622109	4740	-	1744	upstream	1744	VSIG2
chr11	124932303	124932437	135	*	X02749	219855	124933013	124960412	27400	+	575	upstream	575	SLC37A2
chr11	124932652	124932771	120	*	X02750	219855	124933013	124960412	27400	+	241	upstream	241	SLC37A2
chr11	125774554	125774667	114	*	X02763	29118	125774261	125793006	18746	+	0	inside	292	DDX25
chr11	125774554	125774667	114	*	X02763	83480	125763380	125773116	9737	-	1437	upstream	1437	PUS3
chr11	126871161	126871169	9	*	X02766	283165	126872805	126875953	3149	+	1635	upstream	1635	KIRREL3-AS3
chr11	126871263	126871295	33	*	X02767	283165	126872805	126875953	3149	+	1509	upstream	1509	KIRREL3-AS3
chr11	128554569	128554673	105	*	X02777	2313	128556430	128683162	126733	+	1756	upstream	1756	FLI1
chr11	128555503	128555573	71	*	X02778	2313	128556430	128683162	126733	+	856	upstream	856	FLI1
chr11	128759471	128759575	105	*	X02788	3762	128761313	128787951	26639	+	1737	upstream	1737	KCNJ5
chr11	129245465	129245522	58	*	X02795	8538	129245881	129322174	76294	+	358	upstream	358	BARX2
chr11	129685678	129685782	105	*	X02796	120224	129685741	129729898	44158	+	0	overlapStart	0	TMEM45B
chr11	129685918	129686082	165	*	X02797	120224	129685741	129729898	44158	+	0	inside	176	TMEM45B
chr11	130029570	130029704	135	*	X02798	6768	130029682	130080257	50576	+	0	overlapStart	0	ST14
chr11	130298258	130298482	225	*	X02803	11095	130274818	130298539	23722	-	0	inside	56	ADAMTS8
chr11	130298603	130298722	120	*	X02804	11095	130274818	130298539	23722	-	63	upstream	63	ADAMTS8
chr11	130318031	130318195	165	*	X02805	170689	130318869	130346539	27671	+	673	upstream	673	ADAMTS15
chr11	134201518	134201526	9	*	X02815	89944	134201768	134248235	46468	+	241	upstream	241	GLB1L2
chr11	134283753	134283842	90	*	X02816	27087	134248398	134281812	33415	-	1940	upstream	1940	B3GAT1
chr12	323358	323477	120	*	X02826	6539	299243	323371	24129	-	0	overlapStart	0	SLC6A12
chr12	323538	323657	120	*	X02827	6539	299243	323371	24129	-	166	upstream	166	SLC6A12
chr12	569740	569829	90	*	X02828	283358	569543	671058	101516	+	0	inside	196	B4GALNT3
chr12	1769858	1769962	105	*	X02834	100500816	1769481	1769546	66	-	311	upstream	311	MIR3649
chr12	1770129	1770268	140	*	X02835	100500816	1769481	1769546	66	-	582	upstream	582	MIR3649
chr12	1770549	1770698	150	*	X02836	100500816	1769481	1769546	66	-	1002	upstream	1002	MIR3649
chr12	1770714	1770848	135	*	X02837	100500816	1769481	1769546	66	-	1167	upstream	1167	MIR3649
chr12	2161407	2161496	90	*	X02842	775	2162416	2807115	644700	+	919	upstream	919	CACNA1C
chr12	4382193	4382282	90	*	X02862	894	4382902	4414522	31621	+	619	upstream	619	CCND2
chr12	5018890	5019024	135	*	X02869	3736	5019073	5027422	8350	+	48	upstream	48	KCNA1
chr12	5540737	5540805	69	*	X02873	4908	5541280	5604465	63186	+	474	upstream	474	NTF3
chr12	5540971	5541075	105	*	X02874	4908	5541280	5604465	63186	+	204	upstream	204	NTF3
chr12	6811170	6811319	150	*	X02883	196500	6802957	6810009	7053	-	1160	upstream	1160	PIANP
chr12	6881713	6881977	265	*	X02884	3902	6881670	6887621	5952	+	0	inside	42	LAG3
chr12	6929620	6929709	90	*	X02887	27239	6930963	6939175	8213	+	1253	upstream	1253	GPR162
chr12	14133546	14133791	246	*	X02898	2904	13714410	14133022	418613	-	523	upstream	523	GRIN2B
chr12	14133972	14134121	150	*	X02899	2904	13714410	14133022	418613	-	949	upstream	949	GRIN2B
chr12	14134521	14134850	330	*	X02900	2904	13714410	14133022	418613	-	1498	upstream	1498	GRIN2B
chr12	21927682	21927758	77	*	X02904	3764	21917889	21927755	9867	-	0	overlapStart	0	KCNJ8
chr12	21928283	21928372	90	*	X02905	3764	21917889	21927755	9867	-	527	upstream	527	KCNJ8
chr12	22487430	22487654	225	*	X02906	6489	22346325	22487648	141324	-	0	overlapStart	0	ST8SIA1
chr12	22487671	22487940	270	*	X02907	6489	22346325	22487648	141324	-	22	upstream	22	ST8SIA1
chr12	24716790	24716969	180	*	X02909	6660	23685231	24715383	1030153	-	1406	upstream	1406	SOX5
chr12	26348486	26348532	47	*	X02915	8082	26348269	26405853	57585	+	0	inside	216	SSPN
chr12	28124573	28124707	135	*	X02918	5744	28111017	28124916	13900	-	0	inside	208	PTHLH
chr12	33592933	33593067	135	*	X02932	341359	33528348	33592754	64407	-	178	upstream	178	SYT10
chr12	39299449	39299525	77	*	X02933	144402	39046002	39299420	253419	-	28	upstream	28	CPNE8
chr12	39300094	39300228	135	*	X02934	144402	39046002	39299420	253419	-	673	upstream	673	CPNE8
chr12	39300289	39300363	75	*	X02935	144402	39046002	39299420	253419	-	868	upstream	868	CPNE8
chr12	44229303	44229392	90	*	X02948	84216	44229962	44783541	553580	+	569	upstream	569	TMEM117
chr12	48298610	48298744	135	*	X02951	7421	48235320	48298814	63495	-	0	inside	69	VDR
chr12	48398790	48398909	120	*	X02955	1280	48366748	48398285	31538	-	504	upstream	504	COL2A1
chr12	48577182	48577286	105	*	X02962	387856	48577366	48579709	2344	+	79	upstream	79	CCDC184
chr12	49206547	49206621	75	*	X02969	784	49208215	49222726	14512	+	1593	upstream	1593	CACNB3
chr12	49392738	49392842	105	*	X02980	23109	49388933	49393088	4156	-	0	inside	245	DDN
chr12	49393338	49393427	90	*	X02981	23109	49388933	49393088	4156	-	249	upstream	249	DDN
chr12	49393583	49393672	90	*	X02982	23109	49388933	49393088	4156	-	494	upstream	494	DDN
chr12	49687033	49687122	90	*	X02986	5630	49688909	49692481	3573	+	1786	upstream	1786	PRPH
chr12	49687706	49687825	120	*	X02987	5630	49688909	49692481	3573	+	1083	upstream	1083	PRPH
chr12	49687828	49687947	120	*	X02988	5630	49688909	49692481	3573	+	961	upstream	961	PRPH
chr12	49688306	49688440	135	*	X02989	5630	49688909	49692481	3573	+	468	upstream	468	PRPH
chr12	49688728	49688907	180	*	X02990	5630	49688909	49692481	3573	+	1	upstream	1	PRPH
chr12	49739322	49739377	56	*	X03003	79962	49741041	49745685	4645	+	1663	upstream	1663	DNAJC22
chr12	49740171	49740498	328	*	X03004	79962	49741041	49745685	4645	+	542	upstream	542	DNAJC22
chr12	49932032	49932136	105	*	X03007	23416	49932940	49952077	19138	+	803	upstream	803	KCNH3
chr12	49932392	49932469	78	*	X03008	23416	49932940	49952077	19138	+	470	upstream	470	KCNH3
chr12	49932834	49932887	54	*	X03009	23416	49932940	49952077	19138	+	52	upstream	52	KCNH3
chr12	50354709	50354828	120	*	X03021	362	50355279	50359465	4187	+	450	upstream	450	AQP5
chr12	50451309	50451413	105	*	X03025	41	50451420	50477405	25986	+	6	upstream	6	ASIC1
chr12	52299731	52299806	76	*	X03035	94	52300692	52317145	16454	+	885	upstream	885	ACVRL1
chr12	52300602	52300706	105	*	X03036	94	52300692	52317145	16454	+	0	overlapStart	0	ACVRL1
chr12	52300715	52300909	195	*	X03037	94	52300692	52317145	16454	+	0	inside	22	ACVRL1
chr12	52343942	52344016	75	*	X03038	91	52345451	52390863	45413	+	1434	upstream	1434	ACVR1B
chr12	52398884	52398973	90	*	X03041	160622	52400729	52409673	8945	+	1755	upstream	1755	TAMALIN
chr12	52399047	52399136	90	*	X03042	160622	52400729	52409673	8945	+	1592	upstream	1592	TAMALIN
chr12	52400384	52400503	120	*	X03043	160622	52400729	52409673	8945	+	225	upstream	225	TAMALIN
chr12	52400579	52400698	120	*	X03044	160622	52400729	52409673	8945	+	30	upstream	30	TAMALIN
chr12	52400789	52401193	405	*	X03045	160622	52400729	52409673	8945	+	0	inside	59	TAMALIN
chr12	52416731	52416925	195	*	X03054	3164	52416616	52453291	36676	+	0	inside	114	NR4A1
chr12	52624937	52624958	22	*	X03061	3855	52626954	52642709	15756	+	1995	upstream	1995	KRT7
chr12	52626854	52626973	120	*	X03062	3855	52626954	52642709	15756	+	0	overlapStart	0	KRT7
chr12	53439097	53439231	135	*	X03069	23371	53440810	53458162	17353	+	1578	upstream	1578	TNS2
chr12	53490317	53490466	150	*	X03070	3489	53491436	53496128	4693	+	969	upstream	969	IGFBP6
chr12	53490542	53490661	120	*	X03071	3489	53491436	53496128	4693	+	774	upstream	774	IGFBP6
chr12	53490723	53490791	69	*	X03072	3489	53491436	53496128	4693	+	644	upstream	644	IGFBP6
chr12	54332619	54332705	87	*	X03105	3229	54332576	54340328	7753	+	0	inside	42	HOXC13
chr12	54332766	54332801	36	*	X03106	3229	54332576	54340328	7753	+	0	inside	189	HOXC13
chr12	54333400	54333455	56	*	X03108	100874366	54329112	54333427	4316	-	0	overlapStart	0	HOXC13-AS
chr12	54334536	54334640	105	*	X03109	100874366	54329112	54333427	4316	-	1108	upstream	1108	HOXC13-AS
chr12	54335136	54335195	60	*	X03110	100874366	54329112	54333427	4316	-	1708	upstream	1708	HOXC13-AS
chr12	54368721	54368967	247	*	X03119	100124700	54356092	54368740	12649	-	0	overlapStart	0	HOTAIR
chr12	54369568	54369687	120	*	X03120	100124700	54356092	54368740	12649	-	827	upstream	827	HOTAIR
chr12	54378013	54378222	210	*	X03123	3226	54378946	54384062	5117	+	723	upstream	723	HOXC10
chr12	54378298	54378447	150	*	X03124	3226	54378946	54384062	5117	+	498	upstream	498	HOXC10
chr12	54378503	54378614	112	*	X03125	3226	54378946	54384062	5117	+	331	upstream	331	HOXC10
chr12	54401030	54401164	135	*	X03127	3224	54402890	54406545	3656	+	1725	upstream	1725	HOXC8
chr12	54402467	54402518	52	*	X03128	3224	54402890	54406545	3656	+	371	upstream	371	HOXC8
chr12	54402589	54402601	13	*	X03129	3224	54402890	54406545	3656	+	288	upstream	288	HOXC8
chr12	54410398	54410502	105	*	X03136	3221	54410642	54449814	39173	+	139	upstream	139	HOXC4
chr12	54410398	54410502	105	*	X03136	3222	54410642	54429144	18503	+	139	upstream	139	HOXC5
chr12	54410398	54410502	105	*	X03136	3223	54410642	54424607	13966	+	139	upstream	139	HOXC6
chr12	54410829	54410922	94	*	X03137	3221	54410642	54449814	39173	+	0	inside	186	HOXC4
chr12	54410829	54410922	94	*	X03137	3222	54410642	54429144	18503	+	0	inside	186	HOXC5
chr12	54410829	54410922	94	*	X03137	3223	54410642	54424607	13966	+	0	inside	186	HOXC6
chr12	54476189	54476323	135	*	X03153	100240735	54472623	54475607	2985	-	581	upstream	581	LOC100240735
chr12	54476753	54476818	66	*	X03154	100240735	54472623	54475607	2985	-	1145	upstream	1145	LOC100240735
chr12	54495343	54495368	26	*	X03160	100240734	54495993	54496483	491	+	624	upstream	624	LOC100240734
chr12	54495423	54495507	85	*	X03161	100240734	54495993	54496483	491	+	485	upstream	485	LOC100240734
chr12	54517915	54518034	120	*	X03171	400043	54519855	54526626	6772	+	1820	upstream	1820	LINC02381
chr12	54519888	54519962	75	*	X03172	400043	54519855	54526626	6772	+	0	inside	32	LINC02381
chr12	54583868	54583957	90	*	X03187	23583	54574142	54582778	8637	-	1089	upstream	1089	SMUG1
chr12	54584033	54584092	60	*	X03188	23583	54574142	54582778	8637	-	1254	upstream	1254	SMUG1
chr12	54584648	54584932	285	*	X03189	23583	54574142	54582778	8637	-	1869	upstream	1869	SMUG1
chr12	54813128	54813157	30	*	X03207	3678	54789045	54813050	24006	-	77	upstream	77	ITGA5
chr12	54983152	54983256	105	*	X03225	5502	54973024	54982443	9420	-	708	upstream	708	PPP1R1A
chr12	54983407	54983586	180	*	X03226	5502	54973024	54982443	9420	-	963	upstream	963	PPP1R1A
chr12	55004242	55004376	135	*	X03228	644076	55001971	55004246	2276	-	0	overlapStart	0	GLYCAM1
chr12	56882368	56882502	135	*	X03233	27165	56864736	56882181	17446	-	186	upstream	186	GLS2
chr12	57609946	57610202	257	*	X03235	11247	57610578	57620232	9655	+	375	upstream	375	NXPH4
chr12	57610428	57610557	130	*	X03236	11247	57610578	57620232	9655	+	20	upstream	20	NXPH4
chr12	57635508	57635672	165	*	X03255	56901	57628686	57634475	5790	-	1032	upstream	1032	NDUFA4L2
chr12	57636048	57636466	419	*	X03256	56901	57628686	57634475	5790	-	1572	upstream	1572	NDUFA4L2
chr12	58004082	58004216	135	*	X03263	115557	58003963	58011028	7066	+	0	inside	118	ARHGEF25
chr12	58011906	58012085	180	*	X03270	65012	58013693	58019934	6242	+	1607	upstream	1607	SLC26A10
chr12	58118308	58118427	120	*	X03282	100130776	58120023	58122139	2117	+	1595	upstream	1595	AGAP2-AS1
chr12	58118638	58118697	60	*	X03283	100130776	58120023	58122139	2117	+	1325	upstream	1325	AGAP2-AS1
chr12	58119298	58119377	80	*	X03284	100130776	58120023	58122139	2117	+	645	upstream	645	AGAP2-AS1
chr12	64062614	64062675	62	*	X03301	283417	63952693	64062354	109662	-	259	upstream	259	DPY19L2
chr12	65515180	65515298	119	*	X03303	11197	65444404	65515346	70943	-	0	inside	47	WIF1
chr12	65515375	65515464	90	*	X03304	11197	65444404	65515346	70943	-	28	upstream	28	WIF1
chr12	65671668	65671710	43	*	X03305	253827	65672423	65860687	188265	+	712	upstream	712	MSRB3
chr12	65671755	65671787	33	*	X03306	253827	65672423	65860687	188265	+	635	upstream	635	MSRB3
chr12	65672268	65672286	19	*	X03307	253827	65672423	65860687	188265	+	136	upstream	136	MSRB3
chr12	70759045	70759179	135	*	X03309	27345	70760062	70828072	68011	+	882	upstream	882	KCNMB4
chr12	71833278	71833397	120	*	X03312	8549	71833550	71980088	146539	+	152	upstream	152	LGR5
chr12	71833443	71833592	150	*	X03313	8549	71833550	71980088	146539	+	0	overlapStart	0	LGR5
chr12	71833772	71833816	45	*	X03314	8549	71833550	71980088	146539	+	0	inside	221	LGR5
chr12	72665310	72665399	90	*	X03316	29953	72666529	73059422	392894	+	1129	upstream	1129	TRHDE
chr12	72666377	72666601	225	*	X03317	29953	72666529	73059422	392894	+	0	overlapStart	0	TRHDE
chr12	81101074	81101163	90	*	X03322	4618	81101408	81103256	1849	+	244	upstream	244	MYF6
chr12	81110585	81110674	90	*	X03326	4617	81110708	81113447	2740	+	33	upstream	33	MYF5
chr12	81331717	81331817	101	*	X03327	8825	81191171	81331694	140524	-	22	upstream	22	LIN7A
chr12	82153122	82153154	33	*	X03329	8499	81652045	82153109	501065	-	12	upstream	12	PPFIA2
chr12	90101360	90101464	105	*	X03334	338758	90102732	90105729	2998	+	1267	upstream	1267	ATP2B1-AS1
chr12	94541252	94541356	105	*	X03338	10154	94542499	94701451	158953	+	1142	upstream	1142	PLXNC1
chr12	94542242	94542264	23	*	X03339	10154	94542499	94701451	158953	+	234	upstream	234	PLXNC1
chr12	96184728	96184808	81	*	X03346	59277	96051583	96184930	133348	-	0	inside	121	NTN4
chr12	96184929	96185048	120	*	X03347	59277	96051583	96184930	133348	-	0	overlapStart	0	NTN4
chr12	101110677	101110826	150	*	X03350	121601	101111304	101522419	411116	+	477	upstream	477	ANO4
chr12	103351044	103351077	34	*	X03362	429	103351452	103354294	2843	+	374	upstream	374	ASCL1
chr12	103351442	103351484	43	*	X03363	429	103351452	103354294	2843	+	0	overlapStart	0	ASCL1
chr12	109746950	109747069	120	*	X03383	121643	109715783	109747025	31243	-	0	overlapStart	0	FOXN4
chr12	113011630	113011724	95	*	X03393	22895	113012901	113336684	323784	+	1176	upstream	1176	RPH3A
chr12	113011965	113012796	832	*	X03394	22895	113012901	113336684	323784	+	104	upstream	104	RPH3A
chr12	113012807	113013016	210	*	X03395	22895	113012901	113336684	323784	+	0	overlapStart	0	RPH3A
chr12	113013167	113013421	255	*	X03396	22895	113012901	113336684	323784	+	0	inside	265	RPH3A
chr12	113493577	113493696	120	*	X03403	1840	113495662	113535833	40172	+	1965	upstream	1965	DTX1
